"case_id","activity","resource","arrival","start","complete","instance_id"
"Application_1691306052","A_Create Application","User_1",2016-01-01 11:11:11,2016-01-01 11:16:11,2016-01-01 11:16:11,1
"Application_1691306052","A_Submitted","User_1",2016-01-01 11:11:11,2016-01-01 11:16:11,2016-01-01 11:16:11,2
"Application_1691306052","W_Handle leads","User_1",2016-01-01 11:11:11,2016-01-01 11:16:11,2016-01-01 11:16:11,3
"Application_1691306052","W_Handle leads","User_1",2016-01-01 11:12:31,2016-01-01 11:17:31,2016-01-01 11:17:31,4
"Application_1691306052","W_Complete application","User_1",2016-01-01 11:12:31,2016-01-01 11:17:31,2016-01-01 11:17:31,5
"Application_1691306052","A_Concept","User_1",2016-01-01 11:12:31,2016-01-01 11:17:31,2016-01-01 11:17:31,6
"Application_1691306052","W_Complete application","User_38",2016-01-02 11:45:42,2016-01-02 11:50:42,2016-01-02 12:03:05,7
"Application_1691306052","W_Complete application","User_17",2016-01-02 11:46:27,2016-01-02 11:51:27,2016-01-02 11:51:27,8
"Application_1691306052","W_Complete application","User_38",2016-01-02 11:48:34,2016-01-02 11:53:34,2016-01-02 11:53:34,9
"Application_1691306052","A_Accepted","User_38",2016-01-02 11:54:44,2016-01-02 11:59:44,2016-01-02 11:59:44,10
"Application_1691306052","O_Create Offer","User_38",2016-01-02 11:57:38,2016-01-02 12:02:38,2016-01-02 12:02:38,11
"Application_1691306052","O_Created","User_38",2016-01-02 11:57:40,2016-01-02 12:02:40,2016-01-02 12:02:40,12
"Application_1691306052","O_Sent (mail and online)","User_38",2016-01-02 11:58:05,2016-01-02 12:03:05,2016-01-02 12:03:05,13
"Application_1691306052","W_Call after offers","User_38",2016-01-02 11:58:05,2016-01-02 12:03:05,2016-01-02 12:03:05,14
"Application_1691306052","W_Call after offers","User_38",2016-01-02 11:58:05,2016-01-02 12:03:05,2016-01-02 12:03:05,15
"Application_1691306052","A_Complete","User_38",2016-01-02 11:58:05,2016-01-02 12:03:05,2016-01-02 12:03:05,16
"Application_1691306052","W_Call after offers","User_38",2016-01-02 12:04:15,2016-01-02 12:09:15,2016-01-02 12:09:15,17
"Application_1691306052","W_Call after offers","User_11",2016-01-06 09:58:54,2016-01-06 10:03:54,2016-01-06 10:03:54,18
"Application_1691306052","W_Call after offers","User_11",2016-01-06 09:59:21,2016-01-06 10:04:21,2016-01-06 10:04:21,19
